Year,Quarter,Age at exploitation,Location of exploitation,NRM referrals
2015,Q2,Child (17 or under),UK,86
2015,Q2,Child (17 or under),UK and Overseas,9
2015,Q2,Child (17 or under),Not specified or unknown,74
2015,Q2,Child (17 or under),Total,218
2015,Q2,Age not specified or unknown,Overseas,0
2015,Q2,Age not specified or unknown,UK,0
2015,Q2,Age not specified or unknown,UK and Overseas,0
2015,Q2,Age not specified or unknown,Not specified or unknown,0
2015,Q2,Age not specified or unknown,Total,0
2015,Q3,Adult (18 or over),Overseas,178
2015,Q3,Adult (18 or over),UK,269
2015,Q3,Adult (18 or over),UK and Overseas,36
2015,Q3,Adult (18 or over),Not specified or unknown,117
2015,Q3,Adult (18 or over),Total,600
2015,Q3,Child (17 or under),Overseas,65
2015,Q3,Child (17 or under),UK,77
2015,Q3,Child (17 or under),UK and Overseas,7
2015,Q3,Child (17 or under),Not specified or unknown,88
2015,Q3,Child (17 or under),Total,237
2015,Q3,Age not specified or unknown,Overseas,0
2015,Q3,Age not specified or unknown,UK,0
2015,Q3,Age not specified or unknown,UK and Overseas,0
2015,Q3,Age not specified or unknown,Not specified or unknown,0
2015,Q3,Age not specified or unknown,Total,0
2015,Q4,Adult (18 or over),Overseas,178
2015,Q4,Adult (18 or over),UK,239
2015,Q4,Adult (18 or over),UK and Overseas,51
2015,Q4,Adult (18 or over),Not specified or unknown,145
2015,Q4,Adult (18 or over),Total,613
2015,Q4,Child (17 or under),Overseas,94
2015,Q4,Child (17 or under),UK,72
2015,Q4,Child (17 or under),UK and Overseas,6
2015,Q4,Child (17 or under),Not specified or unknown,154
2015,Q4,Child (17 or under),Total,326
2015,Q4,Age not specified or unknown,Overseas,0
2015,Q4,Age not specified or unknown,UK,0
2015,Q4,Age not specified or unknown,UK and Overseas,0
2015,Q4,Age not specified or unknown,Not specified or unknown,0
2015,Q4,Age not specified or unknown,Total,0
2016,Q1,Adult (18 or over),Overseas,164
2016,Q1,Adult (18 or over),UK,279
2016,Q1,Adult (18 or over),UK and Overseas,46
2016,Q1,Adult (18 or over),Not specified or unknown,121
2016,Q1,Adult (18 or over),Total,610
2016,Q1,Child (17 or under),Overseas,83
2016,Q1,Child (17 or under),UK,92
2016,Q1,Child (17 or under),UK and Overseas,21
2016,Q1,Child (17 or under),Not specified or unknown,88
2016,Q1,Child (17 or under),Total,284
2016,Q1,Age not specified or unknown,Overseas,0
2016,Q1,Age not specified or unknown,UK,0
2016,Q1,Age not specified or unknown,UK and Overseas,0
2016,Q1,Age not specified or unknown,Not specified or unknown,0
2016,Q1,Age not specified or unknown,Total,0
2016,Q2,Adult (18 or over),Overseas,202
2016,Q2,Adult (18 or over),UK,316
2016,Q2,Adult (18 or over),UK and Overseas,49
2016,Q2,Adult (18 or over),Not specified or unknown,102
2016,Q2,Adult (18 or over),Total,669
2016,Q2,Child (17 or under),Overseas,100
2016,Q2,Child (17 or under),UK,134
2016,Q2,Child (17 or under),UK and Overseas,10
2016,Q2,Child (17 or under),Not specified or unknown,90
2016,Q2,Child (17 or under),Total,334
2016,Q2,Age not specified or unknown,Overseas,0
2016,Q2,Age not specified or unknown,UK,0
2016,Q2,Age not specified or unknown,UK and Overseas,0
2016,Q2,Age not specified or unknown,Not specified or unknown,0
2016,Q2,Age not specified or unknown,Total,0
2016,Q3,Adult (18 or over),Overseas,151
2016,Q3,Adult (18 or over),UK,325
2016,Q3,Adult (18 or over),UK and Overseas,51
2016,Q3,Adult (18 or over),Not specified or unknown,79
2016,Q3,Adult (18 or over),Total,606
2016,Q3,Child (17 or under),Overseas,77
2016,Q3,Child (17 or under),UK,112
2016,Q3,Child (17 or under),UK and Overseas,14
2016,Q3,Child (17 or under),Not specified or unknown,97
2016,Q3,Child (17 or under),Total,300
2016,Q3,Age not specified or unknown,Overseas,0
2016,Q3,Age not specified or unknown,UK,0
2016,Q3,Age not specified or unknown,UK and Overseas,0
2016,Q3,Age not specified or unknown,Not specified or unknown,0
2016,Q3,Age not specified or unknown,Total,0
2016,Q4,Adult (18 or over),Overseas,195
2016,Q4,Adult (18 or over),UK,299
2016,Q4,Adult (18 or over),UK and Overseas,65
2016,Q4,Adult (18 or over),Not specified or unknown,80
2016,Q4,Adult (18 or over),Total,639
2016,Q4,Child (17 or under),Overseas,93
2016,Q4,Child (17 or under),UK,160
2016,Q4,Child (17 or under),UK and Overseas,20
2016,Q4,Child (17 or under),Not specified or unknown,90
2016,Q4,Child (17 or under),Total,363
2016,Q4,Age not specified or unknown,Overseas,0
2016,Q4,Age not specified or unknown,UK,0
2016,Q4,Age not specified or unknown,UK and Overseas,0
2016,Q4,Age not specified or unknown,Not specified or unknown,0
2016,Q4,Age not specified or unknown,Total,0
2017,Q1,Adult (18 or over),Overseas,252
2017,Q1,Adult (18 or over),UK,324
2017,Q1,Adult (18 or over),UK and Overseas,91
2017,Q1,Adult (18 or over),Not specified or unknown,59
2017,Q1,Adult (18 or over),Total,726
2017,Q1,Child (17 or under),Overseas,135
2017,Q1,Child (17 or under),UK,202
2017,Q1,Child (17 or under),UK and Overseas,22
2017,Q1,Child (17 or under),Not specified or unknown,71
2017,Q1,Child (17 or under),Total,430
2017,Q1,Age not specified or unknown,Overseas,0
2017,Q1,Age not specified or unknown,UK,0
2017,Q1,Age not specified or unknown,UK and Overseas,0
2017,Q1,Age not specified or unknown,Not specified or unknown,0
2017,Q1,Age not specified or unknown,Total,0
2017,Q2,Adult (18 or over),Overseas,254
2017,Q2,Adult (18 or over),UK,323
2017,Q2,Adult (18 or over),UK and Overseas,81
2017,Q2,Adult (18 or over),Not specified or unknown,54
