Year of application,Geographical region,Nationality,Applications,Initial decisions,Granted asylum,Granted HP/DL,Other grants,Refused,Applications withdrawn,Initial decisions not yet known,Appeals lodged,Allowed appeals,Dismissed appeals,Withdrawn appeals,Appeal outcome not yet known,Enforced returns,Voluntary returns,Assisted returns (Subset of Voluntary returns),Controlled returns (Subset of Voluntary returns),Other verified returns (Subset of Voluntary returns),Final outcome: Grants of asylum,Final outcomes: Grants of HP/DL and other,Final outcomes: Refused asylum or HP or DL or other leave,Final outcome: Withdrawn application,Final outcome: Cases with final outcome not yet known
2008,America Central and South,Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,America Central and South,Dominican Republic,2,1,0,0,0,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,1,1,0
2008,Asia South East,East Timor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,America Central and South,Ecuador,13,12,0,1,0,11,1,0,3,0,3,0,0,7,2,1,1,0,0,1,11,1,0
2008,Africa North,Egypt,95,67,2,3,0,62,28,0,49,3,43,1,2,35,13,8,2,3,5,3,57,28,2
2008,America Central and South,El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Africa Sub-Saharan,Equatorial Guinea,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2008,Africa Sub-Saharan,Eritrea,2148,2036,1202,62,0,772,99,13,393,172,196,19,6,364,20,2,3,15,1369,51,613,97,18
2008,EU 8,Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Africa Sub-Saharan,Ethiopia,153,138,28,4,0,106,14,1,103,15,85,2,1,15,9,5,1,3,42,5,90,14,2
2008,Other,Falkland Islands (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Europe Other,Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Oceania,Fiji,2,2,0,0,0,2,0,0,1,0,0,1,0,1,1,1,0,0,0,0,2,0,0
2008,EU 14,Finland,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2008,Europe Other,Former Yugoslavia,5,1,0,0,0,1,3,1,1,0,1,0,0,3,0,0,0,0,0,0,1,3,1
2008,EU 14,France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,America Central and South,French Guiana,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2008,Oceania,French Polynesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Africa Sub-Saharan,Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Africa Sub-Saharan,"Gambia, The",122,103,10,5,0,88,16,3,70,17,46,5,2,29,10,3,1,6,22,9,70,16,5
2008,Europe Other,Georgia,65,47,1,1,0,45,17,1,31,0,31,0,0,24,16,13,1,2,1,1,45,17,1
2008,EU 14,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Africa Sub-Saharan,Ghana,143,104,2,1,0,101,39,0,42,5,34,3,0,75,23,11,8,4,4,4,96,39,0
2008,Other,Gibraltar (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,EU 14,Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Europe Other,Greenland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,America Central and South,Grenada,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2008,America Central and South,Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Oceania,Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,America Central and South,Guatemala,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2008,Africa Sub-Saharan,Guinea,75,74,16,7,0,51,1,0,45,12,31,0,2,4,3,0,1,2,25,9,38,1,2
2008,Africa Sub-Saharan,Guinea-Bissau,3,2,0,0,0,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,2,1,0
2008,America Central and South,Guyana,10,10,0,0,0,10,0,0,6,1,4,0,1,1,1,0,1,0,0,1,8,0,1
2008,America Central and South,Haiti,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2008,Oceania,Heard Island and McDonald Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,America Central and South,Honduras,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
2008,Asia East,Hong Kong,3,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1
2008,EU 8,Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Europe Other,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Asia South,India,718,322,2,18,1,301,391,5,49,9,29,8,3,144,157,53,77,27,8,21,290,391,8
2008,Asia South East,Indonesia,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2008,Middle East,Iran,2150,2001,256,230,0,1515,137,12,1398,294,1047,32,25,134,292,238,17,37,519,244,1218,133,36
2008,Middle East,Iraq,1837,1687,153,253,1,1280,140,10,1166,173,946,30,17,186,401,342,22,37,292,273,1106,139,27
2008,EU 14,Ireland,2,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0
2008,Middle East,Israel,7,5,0,2,0,3,2,0,3,0,2,1,0,2,2,2,0,0,0,2,3,2,0
2008,EU 14,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Africa Sub-Saharan,Ivory Coast,67,66,2,7,0,57,1,0,48,13,32,3,0,5,5,2,1,2,10,10,46,1,0
2008,America Central and South,Jamaica,236,191,8,7,0,176,43,2,68,11,53,3,1,150,7,4,1,2,14,11,165,43,3
2008,Asia East,Japan,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2008,Middle East,Jordan,15,10,0,1,0,9,5,0,9,2,6,1,0,6,6,3,3,0,2,1,7,5,0
2008,Asia Central,Kazakhstan,3,2,0,0,0,2,1,0,2,0,2,0,0,2,1,1,0,0,0,0,2,1,0
2008,Africa Sub-Saharan,Kenya,162,134,6,7,0,121,27,1,85,16,55,10,4,55,18,10,3,5,17,11,102,27,5
2008,Oceania,Kiribati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Asia East,Korea (North),184,152,53,6,0,93,30,2,69,21,39,5,4,1,10,7,1,2,73,7,68,30,6
2008,Asia East,Korea (South),7,5,1,0,0,4,2,0,2,0,2,0,0,3,1,0,1,0,1,0,4,2,0
2008,Europe Other,Kosovo,66,47,3,15,0,29,16,3,22,8,14,0,0,16,10,1,5,4,11,11,25,16,3
2008,Middle East,Kuwait,95,81,37,1,0,43,14,0,35,9,24,1,1,6,6,2,0,4,46,1,33,14,1
2008,Asia Central,Kyrgyzstan,3,3,1,0,0,2,0,0,2,0,2,0,0,1,0,0,0,0,1,0,2,0,0
